class_id,class_name,collection_id,collection_description,property_id,property,property_description,filename,used
2,Generator,1,Generator objects,237,Max Heat Injection Year,Maximum amount of heat that can be injected into the storage in a year,CAISOSA25 20250505,False
2,Generator,1,Generator objects,238,Min Heat Withdrawal,Amount of heat that must be withdrawn from storage,CAISOSA25 20250505,False
2,Generator,1,Generator objects,239,Min Heat Withdrawal Hour,Amount of heat that must be withdrawn from storage each hour,CAISOSA25 20250505,False
2,Generator,1,Generator objects,240,Min Heat Withdrawal Day,Amount of heat that must be withdrawn from storage each day,CAISOSA25 20250505,False
2,Generator,1,Generator objects,241,Min Heat Withdrawal Week,Amount of heat that must be withdrawn from storage each week,CAISOSA25 20250505,False
2,Generator,1,Generator objects,242,Min Heat Withdrawal Month,Amount of heat that must be withdrawn from storage each month,CAISOSA25 20250505,False
2,Generator,1,Generator objects,243,Min Heat Withdrawal Year,Amount of heat that must be withdrawn from storage each year,CAISOSA25 20250505,False
2,Generator,1,Generator objects,244,Min Heat Injection,Amount of heat that must be injected into the storage,CAISOSA25 20250505,False
2,Generator,1,Generator objects,245,Min Heat Injection Hour,Amount of heat that must be injected into the storage each hour,CAISOSA25 20250505,False
2,Generator,1,Generator objects,246,Min Heat Injection Day,Amount of heat that must be injected into the storage each day,CAISOSA25 20250505,False
2,Generator,1,Generator objects,247,Min Heat Injection Week,Amount of heat that must be injected into the storage each week,CAISOSA25 20250505,False
2,Generator,1,Generator objects,248,Min Heat Injection Month,Amount of heat that must be injected into the storage each month,CAISOSA25 20250505,False
2,Generator,1,Generator objects,249,Min Heat Injection Year,Amount of heat that must be injected into the storage each year,CAISOSA25 20250505,False
2,Generator,1,Generator objects,272,Tie Break Group,TieBreak group that the generator belongs to,CAISOSA25 20250505,False
2,Generator,1,Generator objects,274,Risk Level,Risk level for risk-constrained optimization,CAISOSA25 20250505,False
2,Generator,1,Generator objects,283,Forced Outage Rate,Expected proportion of time the facility is unavailable due to forced outage,CAISOSA25 20250505,True
2,Generator,1,Generator objects,285,Forced Outage,Capacity lost to forced outage,CAISOSA25 20250505,False
2,Generator,1,Generator objects,286,Units Out,Number of units out of service,CAISOSA25 20250505,True
2,Generator,1,Generator objects,287,Maintenance Rate,Expected proportion of time the facility is unavailable due to maintenance,CAISOSA25 20250505,True
2,Generator,1,Generator objects,288,Maintenance Frequency,Frequency of maintenance outages in an annual time frame,CAISOSA25 20250505,False
2,Generator,1,Generator objects,289,Min Time Between Maintenance,Minimum time between maintenance events,CAISOSA25 20250505,False
2,Generator,1,Generator objects,290,Min Total Maintenance Percent,Minimum percent of total maintenance scheduled within the time frame,CAISOSA25 20250505,False
2,Generator,1,Generator objects,291,Max Total Maintenance Percent,Maximum percent of total maintenance scheduled within the time frame,CAISOSA25 20250505,False
2,Generator,1,Generator objects,292,Maintenance,Capacity lost to maintenance,CAISOSA25 20250505,False
2,Generator,1,Generator objects,294,Outage Factor,Unit outage rating based on the unit capacity,CAISOSA25 20250505,False
2,Generator,1,Generator objects,296,Initial Operating Hours,Hours the unit has been operating since the last forced outage,CAISOSA25 20250505,False
2,Generator,1,Generator objects,297,Mean Time to Repair,Mean time to repair,CAISOSA25 20250505,True
2,Generator,1,Generator objects,298,Min Time To Repair,Minimum time to repair,CAISOSA25 20250505,False
2,Generator,1,Generator objects,299,Max Time To Repair,Maximum time to repair,CAISOSA25 20250505,False
2,Generator,1,Generator objects,306,Lead Time,Number of years after which the expansion project can begin,CAISOSA25 20250505,False
2,Generator,1,Generator objects,309,Technical Life,Technical lifetime of the unit,CAISOSA25 20250505,False
2,Generator,1,Generator objects,310,WACC,Weighted average cost of capital,CAISOSA25 20250505,False
2,Generator,1,Generator objects,311,Levelized Capital Carrying Rate,Levelized capital carrying rate,CAISOSA25 20250505,False
2,Generator,1,Generator objects,312,Economic Life,Economic life of the unit (period over which fixed costs are recovered).,CAISOSA25 20250505,False
2,Generator,1,Generator objects,313,Max Units Built,Maximum number of units automatically constructed in aggregate over the planning horizon,CAISOSA25 20250505,False
2,Generator,1,Generator objects,314,Max Units Retired,Maximum number of units automatically retired in aggregate over the planning horizon,CAISOSA25 20250505,False
2,Generator,1,Generator objects,315,Min Units Built,Minimum number of units automatically constructed in aggregate over the planning horizon,CAISOSA25 20250505,False
2,Generator,1,Generator objects,316,Min Units Retired,Minimum number of units automatically retired in aggregate over the planning horizon,CAISOSA25 20250505,False
2,Generator,1,Generator objects,317,Max Units Built in Year,Maximum number of units automatically constructed in any single year of the planning horizon,CAISOSA25 20250505,False
2,Generator,1,Generator objects,318,Max Units Retired in Year,Maximum number of units automatically retired in any single year of the planning horizon,CAISOSA25 20250505,False
2,Generator,1,Generator objects,319,Min Units Built in Year,Minimum number of units automatically constructed in any single year of the planning horizon,CAISOSA25 20250505,False
2,Generator,1,Generator objects,320,Min Units Retired in Year,Minimum number of units automatically retired in any single year of the planning horizon,CAISOSA25 20250505,False
2,Generator,1,Generator objects,321,Build Set Size,Expansion must occur in sets of this many units where zero indicates any set size,CAISOSA25 20250505,False
2,Generator,1,Generator objects,322,Max Build Events,Maximum number of distinct build events allowed over the planning horizon,CAISOSA25 20250505,False
2,Generator,1,Generator objects,323,Hint Units Built,Capacity expansion solution to be passed to the optimizer as a hint or initial solution,CAISOSA25 20250505,False
2,Generator,1,Generator objects,324,Hint Units Retired,Capacity expansion solution to be passed to the optimizer as a hint or initial solution,CAISOSA25 20250505,False
